id,name,min_age,max_age,capacity_required,theme,description
1,Atelier Peinture Libre,2,6,15,Art,"Peinture à l'eau sur de grandes feuilles pour développer la motricité fine."
2,Eveil Musical,1,4,20,Musique,"Découverte des instruments (maracas, tambourins) et des rythmes de base."
3,Parcours Motricité,2,5,12,Sport,"Sauts, roulades et équilibre sur des tapis sécurisés."
4,Lecture de Contes Magiques,1,6,25,Calme,"Histoire interactive avec marionnettes pour l'imaginaire."
5,Jeu de Construction Géant,3,6,10,Logique,"Cubes et briques géantes pour apprendre la collaboration spatiale."
6,Chasse au Trésor des Couleurs,3,6,20,Exploration,"Chercher des objets d'une couleur spécifique dans la salle."
7,Yoga pour Petits,4,6,15,Sport,"Postures douces d'animaux pour se relaxer."
8,Atelier Pâte à Modeler,1,5,15,Art,"Création de formes libres pour stimuler les sens."
9,Marionnettes à Doigts,2,5,15,Théâtre,"Les enfants créent leur histoire avec des marionnettes."
10,Puzzle Collaboratif,3,6,8,Logique,"Grand puzzle au sol à assembler en groupe."
11,Chant et Comptines,1,4,30,Musique,"Répétition de comptines gestuelles."
12,Atelier Cuisine (Sans cuisson),4,6,10,Découverte,"Préparation d'une salade de fruits ou tartines."
13,Jeux d'Eau,1,3,10,Sensoriel,"Transvasement d'eau avec éponges et petits seaux."
14,Atelier Jardinage,3,6,15,Nature,"Planter des graines dans des petits pots individuels."
15,Danse Libre avec Foulards,2,5,20,Art,"S'exprimer librement en musique avec des accessoires."
16,Découverte des Formes,1,3,15,Logique,"Trier et emboîter des formes géométriques."
17,Peinture au Doigt,1,3,10,Art,"Découverte des textures et couleurs directement avec les mains."
18,Jeux d'Ombres,4,6,15,Découverte,"Raconter des histoires avec les ombres projetées sur un mur."
19,Tri de Couleurs,1,4,15,Logique,"Ranger des balles dans des paniers de la même couleur."
20,Course en Sac,4,6,15,Sport,"Petite compétition amusante dans le jardin ou grande salle."
21,Théâtre d'Ombres Chinoises,3,6,15,Théâtre,"Création d'histoires avec les mains devant un projecteur de lumière."
22,Atelier Mosaïque en Papier,4,6,10,Art,"Coller de petits papiers colorés pour créer une grande fresque."
23,Parcours d'Obstacles Sonore,2,5,15,Sport,"Traverser un parcours en évitant les clochettes accrochées."
24,Initiation au Tri Sélectif,3,6,20,Écologie,"Apprendre à jeter le plastique et le papier dans les bonnes poubelles de jeu."
25,Atelier Bulles de Savon Géantes,1,6,30,Plein air,"Créer d'immenses bulles avec des cordes dans la cour."
26,Fabrication de Colliers de Pâtes,3,6,12,Créativité,"Peindre et enfiler des pâtes pour faire des bijoux."
27,Mimétisme Animalier,2,4,20,Théâtre,"S'amuser à imiter les cris et démarches des animaux de la ferme."
28,Mini-Olympiades de la Crèche,4,6,25,Sport,"Petites épreuves douces (course cuillère-balle, lancer d'anneaux)."
29,Fresque Collective à la Craie,2,6,30,Art,"Dessiner tous ensemble sur le grand tableau ou dans la cour."
30,Atelier Botanique (Herbier),4,6,15,Nature,"Ramasser des feuilles dans le jardin et les coller dans un carnet."
31,Chasse aux Insectes,4,6,15,Nature,"Chercher et observer les petits insectes avec des loupes dans le jardin."
32,Mimes et Statues Musicales,2,6,20,Sport,"Danser sur la musique et s'arrêter comme une statue quand elle coupe."
33,Fabrication de Maracas,3,6,12,Musique,"Remplir des petites bouteilles avec du riz ou des pâtes pour faire de la musique."
34,Dessin à l'Aveugle,4,6,10,Art,"Dessiner un objet les yeux bandés et deviner le résultat."
35,Les Petits Chimistes,4,6,10,Découverte,"Mélanger du bicarbonate et du vinaigre pour faire une éruption volcanique."
36,Kim Goût,3,6,8,Sensoriel,"Goûter des fruits les yeux bandés et deviner ce que c'est."
37,Kim Toucher,2,5,10,Sensoriel,"Deviner un objet caché dans une boîte noire juste en le touchant."
38,Création d'un Bâton de Pluie,4,6,12,Art,"Fabriquer un bâton de pluie avec un rouleau en carton et des graines."
39,Atelier de Maquillage,3,6,10,Art,"Maquiller les enfants en petits animaux (chat, chien, papillon)."
40,Balles et Cerceaux,2,5,15,Sport,"Lancer des petites balles dans des cerceaux posés au sol."
41,Pyramide de Gobelets,2,6,15,Logique,"Empiler des gobelets en plastique le plus haut possible sans qu'ils tombent."
42,Relais Bâton,4,6,20,Sport,"Course de relais en petites équipes dans la cour extérieure."
43,Chant en Canon,4,6,25,Musique,"Apprendre une chanson en deux groupes qui se répondent."
44,Peinture avec Eponges,2,5,15,Art,"Tamponner des éponges pleines de peinture sur une grande fresque."
45,Dessin sur Sable,1,4,10,Sensoriel,"Tracer des formes et des lettres avec les doigts dans un bac à sable."
46,Pêche à la Ligne,2,5,12,Sport,"Attraper des petits poissons en plastique magnétiques avec une canne."
47,Les Petits Bricoleurs,3,6,10,Logique,"Visser et dévisser de gros écrous en plastique coloré."
48,Dominos Géants,2,5,8,Logique,"Placer de grands dominos en mousse sur le sol."
49,Jeu de Quilles en Mousse,2,6,15,Sport,"Faire rouler une balle pour faire tomber de grosses quilles molles."
50,Danse des Animaux,1,4,20,Sport,"Se déplacer dans la salle en imitant la démarche des animaux."
51,Création de Cartes Postales,3,6,15,Art,"Dessiner et coller des paillettes pour faire une carte de fête."
52,Observation des Nuages,2,6,20,Calme,"S'allonger dans l'herbe et imaginer des formes dans les nuages."
53,Jeu du Chef d'Orchestre,4,6,15,Musique,"Reproduire le rythme que le meneur frappe dans ses mains."
54,Le Tunnel Mystérieux,1,4,15,Sport,"Ramper à l'intérieur d'un long tunnel en tissu."
55,Atelier Tricot de Doigts,5,6,8,Créativité,"Apprendre à tricoter des petits fils de laine avec ses doigts."
56,Loto des Animaux,2,5,12,Logique,"Associer une image d'animal au son qu'il produit."
57,Jeu du Téléphone Arabe,4,6,15,Calme,"Chuchoter un mot de voisin en voisin jusqu'au bout de la ronde."
58,Tapis Roulant,3,6,10,Sport,"Se laisser rouler au sol sur un grand tapis de gym."
59,Bulles Géantes à la Paille,3,6,12,Découverte,"Souffler dans une paille trempée d'eau savonneuse pour faire des bulles."
60,Jeux de Construction Magnétiques,3,6,15,Logique,"Assembler des formes aimantées pour créer des volumes 3D."
61,Création de Masques,4,6,12,Art,"Découper et colorier des masques d'animaux en carton."
62,Plante qui Pousse,3,6,20,Théâtre,"Mimer une petite graine qui grandit doucement pour devenir un arbre."
63,Bataille d'Eau (Éponges),3,6,25,Plein air,"Se lancer des éponges mouillées en été dans le jardin."
