id,title,description,type,location,city,city_aliases,venue_type,indoor_outdoor,season,month_start,month_end,age_min,age_max,duration_minutes,price_dt,budget_level,requires_authorization,tags,educational_value,recommended_label,source_url,source_type
1,Atelier peinture créative - Cité des Sciences à Tunis,"Expression artistique libre avec peinture, couleurs et collage. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,2,6,75,12,LOW,false,art;creativite;peinture;motricite_fine,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
2,Atelier lecture et contes - Cité des Sciences à Tunis,"Lecture animée, comptines et découverte du livre en petit groupe. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ACTIVITE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,2,5,45,0,LOW,false,lecture;conte;langage;calme,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
3,Atelier sciences ludiques - Cité des Sciences à Tunis,Expériences simples et sécurisées adaptées aux enfants. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.,ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,4,6,60,15,LOW,false,science;curiosite;observation;experience,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
4,Visite découverte musée - Cité des Sciences à Tunis,Parcours très court centré sur l'observation et la curiosité. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.,SORTIE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,4,6,90,10,LOW,true,musee;culture;observation;patrimoine,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
5,Parcours nature et observation - Cité des Sciences à Tunis,"Découverte des arbres, des insectes et des saisons dans un espace vert. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",SORTIE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,PRINTEMPS,3,5,2,6,90,0,LOW,true,nature;plein_air;observation;saisons,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
6,Jeux moteurs en plein air - Cité des Sciences à Tunis,"Parcours moteur, jeux collectifs et coordination en extérieur. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ACTIVITE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,PRINTEMPS,3,5,2,6,75,0,LOW,false,motricite;plein_air;cooperation,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
7,Atelier jardinage - Cité des Sciences à Tunis,"Plantation de graines, arrosage et découverte du vivant. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,PRINTEMPS,3,5,2,6,90,5,LOW,false,jardinage;nature;botanique;sensoriel,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
8,Jeux d'eau encadrés - Cité des Sciences à Tunis,"Jeux sensoriels d'été avec eau, bacs et activités rafraîchissantes. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ACTIVITE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ETE,6,8,2,6,60,8,LOW,false,ete;eau;sensoriel;motricite,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
9,Atelier musique et rythme - Cité des Sciences à Tunis,"Chansons, percussions douces et expression corporelle. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.",ATELIER,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,2,6,75,10,LOW,false,musique;rythme;expression;groupe,HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
10,Mini exploration planétarium - Cité des Sciences à Tunis,Découverte visuelle de l'espace et des étoiles en séance courte. Lieu: Cité des Sciences à Tunis. Contexte: Ateliers et exposés scientifiques.,SORTIE,Cité des Sciences à Tunis,tunis,tunis|ariana|la goulette|carthage,SCIENCE_CENTER,INDOOR,ALL,1,12,4,6,60,14,LOW,true,astronomie;planetes;science;immersion,VERY_HIGH,HIGHLY_RECOMMENDED,https://cst.rnu.tn/fr/contentTopic?label_slug=ateliers-et-exposes,verified_venue + synthetic_activity_template
