season,month,age_group,budget_level,outdoor_preferred,city_context,event_type,indoor_outdoor,title,description,suggested_location,requires_authorization,price,relevance_label
PRINTEMPS,MARCH,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,19.1,HIGH
PRINTEMPS,MARCH,2-3 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,20.8,HIGH
PRINTEMPS,MARCH,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,4.8,HIGH
PRINTEMPS,MARCH,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,8.1,HIGH
PRINTEMPS,MARCH,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,18.9,HIGH
PRINTEMPS,MARCH,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,10.3,HIGH
PRINTEMPS,MARCH,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,5.3,HIGH
PRINTEMPS,MARCH,4-5 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,24.0,HIGH
PRINTEMPS,MARCH,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,20.0,HIGH
PRINTEMPS,MARCH,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,25.0,HIGH
PRINTEMPS,MARCH,2-6 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,11.8,HIGH
PRINTEMPS,MARCH,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,20.8,HIGH
PRINTEMPS,APRIL,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,8.6,HIGH
PRINTEMPS,APRIL,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,8.2,HIGH
PRINTEMPS,APRIL,2-3 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,12.2,HIGH
PRINTEMPS,APRIL,2-3 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,9.7,HIGH
PRINTEMPS,APRIL,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,10.8,HIGH
PRINTEMPS,APRIL,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite educative a la Cite des Sciences,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Cite des Sciences, Tunis, Tunisie",True,10.8,HIGH
PRINTEMPS,APRIL,4-5 ans,MEDIUM,True,Tunis,SORTIE,OUTDOOR,Visite marine au Musee Oceanographique,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Musee Oceanographique de Salammbô, La Goulette, Tunisie",True,14.8,HIGH
PRINTEMPS,APRIL,4-5 ans,LOW,True,Tunis,SORTIE,OUTDOOR,Balade sensorielle au Jardin Japonais,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Jardin Japonais, Tunis, Tunisie",True,8.4,HIGH
PRINTEMPS,APRIL,2-6 ans,HIGH,True,Tunis,SORTIE,OUTDOOR,Sortie decouverte au Parc du Belvedere,"Activite encadree avec decouverte, observation et temps de repos adaptes aux enfants.","Parc du Belvedere, Tunis, Tunisie",True,19.2,HIGH
